codigo,nombre
0390,TERMODINAMICA 1
0392,TERMODINAMICA 2
0394,TERMODINAMICA 3
0396,TERMODINAMICA 4
0398,CINETICA DE PROCESOS QUIMICOS
0409,SEPARACION POR MEDIO DE MEMBRANAS SELECTIVAS
0410,BALANCE DE MASA Y ENERGIA
0412,FLUJO DE FLUIDOS
0414,IQ-3 TRANSFERENCIA DE CALOR
0416,IQ-4 TRANSFERENCIA DE MASA
0418,IQ-5 TRANSFERENCIA DE MASA EN UNIDADES CONTINUAS
0421,GESTION TOTAL DE LA CALIDAD
0423,EXTRACCIONES INDUSTRIALES
0428,LABORATORIO DE INGENIERIA QUIMICA 1
0430,LABORATORIO DE INGENIERIA QUIMICA 2
0431,ECONOMIA DE LOS RECURSOS NATURALES RENOVABLES
0432,DINAMICA DE PROCESOS QUIMICOS
0434,PROCESOS QUIMICOS INDUSTRIALES
0436,DISE\O DE EQUIPO
0437,CONTROL DE CONTAMINANTES INDUSTRIALES
0439,INGENIERIA TEXTIL 2
0440,MICROBIOLOGIA
0441,MANEJO ADECUADO DE LOS DESECHOS SOLIDOS
0442,BIOINGENIERIA 1
0450,GEOLOGIA
0452,CIENCIA DE LOS MATERIALES
0453,MATERIALES DE CONSTRUCCION 1
0454,METALURGIA Y METALOGRAFIA
0455,MATERIALES DE CONSTRUCCION 2
0458,MECANICA DE SUELOS 1
0460,PAVIMENTOS
0462,ELECTRICIDAD Y ELECTRONICA BASICA
0472,TECNOLOGIA DE LOS ALIMENTOS
0474,INTRODUCCION A LA INGENIERIA PETROLERA
0478,PETROLOGIA
0482,OPERACIONES Y PROCESOS EN LA INDUSTRIA FARMACEUTICA
0486,DISE\O DE PLANTAS
0502,REFRIGERACION Y AIRE ACONDICIONADO
0504,MOTORES DE COMBUSTION INTERNA
0506,PLANTAS DE VAPOR
0508,MONTAJE Y MANTENIMIENTO DE EQUIPO
0510,INSTALACIONES MECANICAS
0511,MANTENIMIENTO DE HOSPITALES 1
0512,INSTRUMENTACION MECANICA
0520,PROCESOS DE MANUFACTURA 1
0522,PROCESOS DE MANUFACTURA 2
0524,DISE\O DE MAQUINAS 1
0526,DISE\O DE MAQUINAS 2
0528,DISE\O DE MAQUINAS 3
0530,MECANISMOS
0532,VIBRACIONES
0550,VIAS TERRESTRES 1
0560,VIAS TERRESTRES 2
0585,INGENIERIA DE TRANSITO Y TRANSPORTES
0601,INVESTIGACION DE OPERACIONES I
0603,INVESTIGACION DE OPERACIONES II
0606,ANALISIS DE SISTEMAS INDUSTRIALES
0608,INTROD DE PROYECTOS GERENCIALES
0610,INFORMATICA
0630,INGENIERIA DE LA PRODUCCION
0632,INGENIERIA DE PLANTAS
0634,INGENIERIA DE METODOS
0636,DISE\O PARA LA PRODUCCION
0637,DISEÑO INDUSTRIAL
0638,CONTROLES INDUSTRIALES
0639,CONTROL ESTADISTICO DE LA CALIDAD
0640,CONTROL DE LA PRODUCCION
0642,SEGURIDAD E HIGIENE INDUSTRIAL
0650,CONTABILIDAD 1
0652,CONTABILIDAD 2
0653,INGENIERIA DE COSTOS
0654,CONTABILIDAD 3
0656,ADMINISTRACION DE EMPRESAS 1
0657,ADMINISTRACION DE EMPRESAS 2
0658,ADMINISTRACION DE PERSONAL
0660,MERCADOTECNIA 1
0661,MERCADOTECNIA 2
0662,LEGISLACION 1
0664,LEGISLACION 2
0665,MICROECONOMIA
0666,COSTOS PRESUPUESTOS Y AVALUOS
0667,PROGRAMACION COMERCIAL 1
0669,ECONOMIA INDUSTRIAL
0670,LEGISLACION AMBIENTAL 2
0700,INGENIERIA ECONOMICA 1
0702,INGENIERIA ECONOMICA 2
0704,INGENIERIA ECONOMICA 3
0706,PREPARACION Y EVALUACION DE PROYECTOS 1
0708,PREPARACION Y EVALUACION DE PROYECTOS 2
0710,PLANEAMIENTO
0720,MODELACION Y SIMULACION 2
0722,TEORIA DE SISTEMAS 1
0724,TEORIA DE SISTEMAS 2
0729,MODELACION Y SIMULACION 1
0732,ESTADISTICA 1
0734,ESTADISTICA 2
0736,ANALISIS PROBABILISTICO
0769,INTRODUCCION A LA PROGRAMACION DE COMPUTADORAS
0770,INTRODUCCION A LA PROGRAMACION Y COMPUTACION 1
0771,INTRODUCCION A LA PROGRAMACION Y COMPUTACION 2
0772,ESTRUCTURAS DE DATOS
0773,MANEJO E IMPLEMENTACION DE ARCHIVOS
0774,SISTEMAS DE BASES DE DATOS 1
0775,SISTEMAS DE BASES DE DATOS 2
0777,ORGANIZACION DE LENGUAJES Y COMPILADORES 1
0778,ARQUITECTURA DE COMPUTADORES Y ENSAMBLADORES 1
0779,ARQUITECTURA DE COMPUTADORES Y ENSAMBLADORES 2
0780,SOFTWARE AVANZADO
0781,ORGANIZACION DE LENGUAJES Y COMPILADORES 2
0785,ANALISIS Y DISE\O DE SISTEMAS 2
0786,SISTEMAS ORGANIZACIONALES Y GERENCIALES 1
0787,SISTEMAS ORGANIZACIONALES Y GERENCIALES 2
0795,LOGICA DE SISTEMAS
0796,LENGUAJES FORMALES Y DE PROGRAMACION
0797,SEMINARIO DE SISTEMAS I
0798,SEMINARIO DE SISTEMAS 2
0799,SEMINARIO DE INVESTIGACION
0879,CLIMATOLOGIA
0960,MATEMATICA PARA COMPUTACION 1
0962,MATEMATICA PARA COMPUTACION 2
0964,ORGANIZACION COMPUTACIONAL
0968,INTELIGENCIA ARTIFICIAL 2
0969,TELECOMUNICACIONES Y REDES LOCALES
0970,REDES DE COMPUTADORAS 1
0972,INTELIGENCIA ARTIFICIAL 1
0975,REDES DE COMPUTADORAS 2
0980,PROYECTOS DE COMPUTACION APLICADA A I.E.
0991,LENGUAJES DE PROGRAMACION APLICADOS A I.E.
1023,DIPLOMADO EN ACONDICIONAMIENTO DEL AGUA EN LA INDUSTRIA
1025,DIPLOMADO EN ADMINISTRACION DE LA CALIDAD
1034,DIPLOMADO EN ADMINISTRACION DE LA CALIDAD EN LA INDUSTRIA ALIMENTICIA
1035,DIPLOMADO EN MATEMATICAS DE INGENIERIA
1056,DIPLOMADO SEGURIDAD INDUSTRIAL Y SALUD OCUPACIONAL
1059,DIPLOMADO BUENAS PRACTICAS DE MAN EN LA IND FARMA Y ALIMENTICIA
1060,DIPLOMADO CADENA DE SUMISTROS
1065,DIPLOMADO ADMINISTRACION Y COMPETENCIAS
1071,DIPLOMADO MANTENIMIENTO INDUSTRIAL
1074,DIPLOMADO EN LIDERAZGO DEL TALENTO HUMANO
1076,DIPLOMADO EN GESTION GERENCIAL DE OPERACIONES
1077,DIPLOMADO EN RECURSOS HUMANOS
1084,DIPLOMADO DE PROPIEDAD INTELECTUAL
1088,DIPLOMADO REDACCION Y ORTOGRAFIA PARA LA INGENIERIA
1091,DIPLOMADO DESARROLLO DE PRACTICAS EMPRESARIALES
1092,DIPLOMADO ENSEÑANZA DE LA MATEMATICA PARA DOCENTES
1093,DIPLOMADO ESTRATEGIAS DE LECTURA PARA UNA COMPRENSION ANALITICA
1094,"DIPLOMADO ELABORACION, FORMULACION Y EVALUACION DE PROYECTOS DE INVERSION"
1095,DIPLOMADO MANEJO DE AGUAS RESIDUALES CON ENFASIS EN GESTION AMBIENTAL
1096,DIPLOMADO DISEÑO Y ELABORACION DE PRESUPUESTO PARA OBRAS DE CONSTRUCCION
2001,PRACTICAS FINALES INGENIERIA CIVIL
2002,PRACTICAS FINALES INGENIERIA QUIMICA
2003,PRACTICAS FINALES INGENIERIA MECANICA
2004,PRACTICAS FINALES INGENIERIA ELECTRICA
2005,PRACTICAS FINALES INGENIERIA INDUSTRIAL
2006,PRACTICAS FINALES INGENIERIA MECANICA ELECTRICA
2007,PRACTICAS FINALES INGENIERIA MECANICA INDUSTRIAL
2009,PRACTICAS FINALES INGENIERIA CIENCIAS Y SISTEMAS
2013,PRACTICAS FINALES INGENIERIA ELECTRONICA
2025,PRACTICAS INICIALES
2035,PRACTICAS FINALES INGENIERIA AMBIENTAL
2036,PRACTICAS INTERMEDIAS
3022,PSICOLOGIA INDUSTRIAL (DIPLOMADO)
3116,MATEMATICA APLICADA 3 (DIPLOMADO)
3118,MATEMATICA APLICADA 1 (DIPLOMADO)
3120,MATEMATICA APLICADA 2 (DIPLOMADO)
3123,MATEMATICA APLICADA 5 (DIPLOMADO)
3606,ANALISIS DE SISTEMAS INDUSTRIALES (DIPLOMADO)
3656,ADMINISTRACION DE EMPRESAS 1 (DIPLOMADO)
3657,ADMINISTRACION DE EMPRESAS 2 (DIPLOMADO)
3658,ADMINISTRACION DE PERSONAL (DIPLOMADO)
3661,MERCADOTECNIA 2 (DIPLOMADO
3662,LEGISLACION 1 (DIPLOMADO)
3664,LEGISLACION 2 (DIPLOMADO)
3669,ECONOMIA INDUSTRIAL (DIPLOMADO
3710,PLANEAMIENTO (DIPLOMADO)
5004,"INSTALACIONES SANITARIAS, DRENAJES, AGUA POTABLE Y ELECTRICIDAD"
5005,HIGIENE Y PROTECCION EN LAS OBRAS DE CONSTRUCCION
5006,APLICABILIDAD DE LOS CONCEPTOS JURIDICOS BASICOS EN MATERIA LABORAL
5007,COMUNICACION Y REDACCION II
5009,INTERPRETACION DE PLANOS
7902,SEMINARIO DE INVESTIGACION QUIMICA
7904,SEMINARIO DE INVESTIGACION ELECTRICA
7905,SEMINARIO DE INVESTIGACION INDUSTRIAL
7913,SEMINARIO DE INVESTIGACION ELECTRONICA
7935,SEMINARIO DE INVESTIGACION AMBIENTAL
7980,INVESTIGACION 1
7981,SEMINARIO DE INVESTIGACION E.P.S. CIVIL
7982,SEMINARIO DE INVESTIGACION E.P.S. QUIMICA
7983,SEMINARIO DE INVESTIGACION E.P.S. MECANICA
7984,SEMINARIO DE INVESTIGACION E.P.S. ELECTRICA
7985,SEMINARIO DE INVESTIGACION E.P.S. INDUSTRIAL
7986,SEMINARIO DE INVESTIGACION E.P.S. MECANICA ELECTRICA
7987,SEMINARIO DE INVESTIGACION E.P.S. MECANICA INDUSTRIAL
7988,SEMINARIO DE INVESTIGACION E.P.S. ELECTRONICA
7989,SEMINARIO DE INVESTIGACION E.P.S. AMBIENTAL
7991,SEMINARIO DE INVESTIGACION CIVIL
7993,SEMINARIO DE INVESTIGACION MECANICA
7994,SEMINARIO DE INVESTIGACION MECANICA ELECTRICA
7995,SEMINARIO DE INVESTIGACION MECANICA INDUSTRIAL
7999,SEMINARIO DE INVESTIGACION E.P.S. SISTEMAS
9000,P.A.P. DE MATEMATICA PARA INGENIERIA
